"block_id","conc_r","conc_c","response","synergy_zip","synergy_bliss","synergy_loewe","synergy_hsa"
1,0,0,-0.000626453810742332,0,0,0,0
1,0,0.35,0.00235833532422208,0,0,0,0
1,0,1.08,0.03540744838759,0,0,0,0
1,0,10,4.74726194780214,0,0,0,0
1,0,3.25,0.539394927771815,0,0,0,0
1,0.35,0,0.078343662615882,0,0,0,0
1,0.35,0.35,-0.155512570947572,2.30154337276463,-0.239794964461935,-0.294885877484619,-0.233847829328588
1,0.35,1.08,20.4522383247051,3.77789723776971,20.3341944901413,20.1341461232378,20.3731624729436
1,0.35,10,17.8365757813517,11.5394594144579,13.0108012816392,11.4959532491623,13.0888434348519
1,0.35,3.25,6.17344461161284,8.30725546153989,5.55235748086509,4.95397701559756,5.63384720954276
1,1.08,0,1.28366424016845,0,0,0,0
1,1.08,0.35,4.02938984323641,-0.645240325902901,2.73975153135585,2.52111001145743,2.74562692824329
1,1.08,1.08,4.92687875941946,-0.66952599541336,3.60458566539013,2.9092417623359,3.64308359081682
1,1.08,10,15.0045353001128,5.22525592468512,9.03084424327627,4.9273397771876,10.2569047303885
1,1.08,3.25,12.4068749309181,4.93815075407837,10.5868308099176,8.61624205356714,11.1228109491064
1,10,0,34.290040426391,0,0,0,0
1,10,0.35,41.4522338097369,-17.1467342140205,7.15802506715741,6.87936855505384,7.16193599121046
1,10,1.08,42.5879438362107,-17.1545652014746,8.27197928094472,7.51079912725393,8.29760520297662
1,10,10,47.7573212211951,3.89559240836261,10.3452357371476,10.4170862925727,13.4667968128761
1,10,3.25,45.8310939013212,5.25648395050229,11.183866628512,9.73176731771912,11.5406387170146
1,3.25,0,13.4688299273716,0,0,0,0
1,3.25,0.35,20.4430321363007,-6.73719524135482,6.96880141230678,6.62053787567576,6.97395157274778
1,3.25,1.08,18.1963245649834,-6.75540623775296,4.6935788535,3.66545264370839,4.72732474273808
1,3.25,10,35.8422606483041,5.5050029960462,18.2619509995803,15.4300618132595,22.3726266732334
1,3.25,3.25,24.4496198257479,5.36538644458129,10.5105744675007,8.03826347213258,10.9803952749963
2,0,0,-0.000626453810742332,0,0,0,0
2,0,0.0325,0.601189808324222,0,0,0,0
2,0,0.08,5.03834798038759,0,0,0,0
2,0,0.2,32.5017095508021,0,0,0,0
2,0,0.5,80.8116983677718,0,0,0,0
2,0.35,0,0.078343662615882,0,0,0,0
2,0.35,0.0325,1.61223742905243,4.69038747563545,0.932494421214696,0.163628575954888,1.01104075762931
2,0.35,0.08,8.42123832470513,2.58094756050714,3.30782734921487,1.13066787646332,3.38286738089771
2,0.35,0.2,52.2030757813517,21.8815896275417,19.6478943980815,17.8204987655796,19.701232495578
2,0.35,0.5,88.3244446116128,8.88830267919974,7.49753238096498,-4.79817064322791,7.51269524651966
2,1.08,0,1.28366424016845,0,0,0,0
2,1.08,0.0325,23.2076398432364,13.7585572233709,21.329692195682,18.6021850801463,21.9238267807874
2,1.08,0.08,29.1606287594195,14.7615702649311,22.9025002093391,16.4008300376441,24.1221170344217
2,1.08,0.2,70.7470353001128,30.6155395483026,37.3781682993635,34.167695184109,38.2450661359676
2,1.08,0.5,89.7671249309181,7.46359043275905,8.7089254990499,-7.79686327479811,8.95536577275736
2,10,0,34.290040426391,0,0,0,0
2,10,0.0325,40.4247338097369,5.11949968706762,5.73916948036025,4.93368209644789,6.1346517403941
2,10,0.08,46.1431938362107,-12.0003108330932,8.54197543165522,9.3548960738168,11.8530729493524
2,10,0.2,63.6835712211951,9.37098065650261,8.03631496294767,25.6274978965133,29.3933312683876
2,10,0.5,87.2528439013212,-0.583539019828279,-0.138615501026877,-11.660108808266,6.44110181036775
2,3.25,0,13.4688299273716,0,0,0,0
2,3.25,0.0325,27.3702821363007,10.3787231369748,13.3805609526302,8.21353525285923,13.9013578443915
2,3.25,0.08,34.7478245649834,2.91498372886803,16.9185805435401,7.84517621232139,21.2788501935306
2,3.25,0.2,58.8367606483041,20.6896419252072,17.2433076294685,20.9557233124566,26.3348723323713
2,3.25,0.5,88.7193698257479,2.95344979740032,5.32308290249895,-10.0363595480854,7.9076177798603
7641,0,0,-0.000626453810742332,0,0,0,0
7641,0,10,58.0512980833242,0,0,0,0
7641,0,2.5,30.5240203913876,0,0,0,0
7641,0,20,69.2480428208021,0,0,0,0
7641,0,5,44.3326596477718,0,0,0,0
7641,0.00045,0,10.3643825016159,0,0,0,0
7641,0.00045,10,79.3264874290524,15.27733482921,16.7399228193934,20.5692238340892,21.2018420744081
7641,0.00045,2.5,16.1062383247051,-12.6375656333243,-21.7579641013861,-17.0028607423626,-14.3680760473426
7641,0.00045,20,92.1898257813517,25.1307429502762,19.5917246888352,22.754957226239,22.8626900250165
7641,0.00045,5,47.6029446116128,-4.48520900408787,-2.66210664288513,1.85296715441228,3.25901049409888
7641,0.002,0,25.1976429911685,0,0,0,0
7641,0.002,10,80.0148898432364,15.5554650996144,11.2464215398159,19.5250793111909,21.8878711870985
7641,0.002,2.5,34.0256287594195,-12.5854792296031,-14.1349693641019,-6.03074732379233,3.48953639937142
7641,0.002,20,94.3410353001128,20.2670890489972,17.2053977944662,24.2188821200562,25.0064831421807
7641,0.002,5,61.5901249309181,1.49746499382938,3.07640720958321,11.9566975176891,17.1979693149624
7641,0.009,0,49.657904576391,0,0,0,0
7641,0.009,10,98.9072338097369,16.7081458259135,19.8834980111462,32.6478997697432,40.7150828600027
7641,0.009,2.5,85.6319438362107,20.2250016924597,20.416397405623,29.9031272450214,35.8500169738042
7641,0.009,20,99.4840712211951,14.9759623738119,14.8604692717014,26.7609937353028,30.1317881916368
7641,0.009,5,92.2478439013212,20.4558476327439,20.1057795372282,32.0488640033056,42.4431083950424
7641,0.04,0,73.9220749873716,0,0,0,0
7641,0.04,10,98.9927821363007,9.11491579583756,9.86030770886096,21.6179717620856,24.9842746415818
7641,0.04,2.5,97.1963245649834,16.4734466748298,15.1991749044956,22.1552359077854,23.1940104469136
7641,0.04,20,99.3085106483041,7.65794937502008,7.27516718363069,19.9525391094044,25.2989146638681
7641,0.04,5,98.1413698257479,13.1136154106466,12.564741982084,22.2072857768144,24.1357976172318
64716,0,0,-31.6052064538107,0,0,0,0
64716,0,0.0001954,-21.0634263566758,0,0,0,0
64716,0,0.0007812,12.7590143713876,0,0,0,0
64716,0,0.003125,47.0277982808021,0,0,0,0
64716,0,0.0125,68.2020835077718,0,0,0,0
64716,0,0.05,74.1924775316159,0,0,0,0
64716,0.0097656,0,-55.4472125709476,0,0,0,0
64716,0.0097656,0.0001954,0.935258324705129,-8.95630926399424,10.8152835010355,-40.4145973435602,13.6220134482864
64716,0.0097656,0.0007812,24.0199657813517,-4.38502757832158,4.95040840153548,-26.4374861289217,6.97300014836165
64716,0.0097656,0.003125,36.7072406116128,-8.69309081942205,-7.61879559538094,-19.5720694294759,-6.39069005259668
64716,0.0097656,0.0125,70.0040957811684,-5.92773386902786,0.378639344109672,-0.85738199789661,1.11584105039525
64716,0.0097656,0.05,73.0511218432364,-2.17031278646407,-1.30507027796487,-0.596381730713304,-0.706749642606695
64716,0.0390626,0,-21.4912512405805,0,0,0,0
64716,0.0390626,0.0001954,-7.62185869988718,-13.0157680831024,-10.2456983502216,-50.0538202621726,8.32328014328046
64716,0.0390626,0.0007812,8.93876993091814,-12.0575835450429,-15.7467867228327,-39.820657659234,-2.36556966462003
64716,0.0390626,0.003125,44.913453066391,-10.1091942418899,-9.43423819235035,-17.6243476014569,-1.30924368261917
64716,0.0390626,0.0125,68.3363468097369,-5.26900203369352,-4.79409694205788,-3.36582226482049,0.0831384481149371
64716,0.0390626,0.05,76.1591408362107,-0.712843983347668,-2.74061921542132,1.02316597156607,1.21779617151911
64716,0.15625,0,-11.7381987788049,0,0,0,0
64716,0.15625,0.0001954,-4.18583009867878,-13.5461477181202,-12.6453783368893,-48.9869568072367,4.67657358688214
64716,0.15625,0.0007812,-1.66330102262839,-13.0288442413516,-25.574293648652,-47.4262035940762,-8.93057821856925
64716,0.15625,0.003125,52.3542221363007,-11.669860248972,-6.80773864229681,-13.9823919445489,3.29822525490739
64716,0.15625,0.0125,59.9834645649834,-7.07811460099035,-11.1554915489432,-9.27636246463679,-5.0891287086705
64716,0.15625,0.05,70.6123576483041,-2.2047750302726,-7.14040356321485,-2.75025198053022,-2.21687986819623
64716,0.625,0,-27.7837801742521,0,0,0,0
64716,0.625,0.0001954,-21.3079401287395,-16.3672008483775,-15.7994143904482,-59.8287127408142,-0.151407683667681
64716,0.625,0.0007812,-2.61998579550671,-16.1977263557785,-20.7992761505996,-48.2568373390197,-9.5229760382875
64716,0.625,0.003125,41.6791172476161,-13.1717645330078,-10.158908933508,-20.8262474699142,-3.31200733225297
64716,0.625,0.0125,67.3580348499449,-6.06518273168561,-4.6326788378328,-4.92644653521894,-0.522651346407883
64716,0.625,0.05,72.2443349415602,-0.361534424014465,-4.54206919595761,-1.90477769587554,-1.20632778483245
64716,2.5,0,-7.08336132044847,0,0,0,0
64716,2.5,0.0001954,4.50168221227266,-13.1884056250535,-9.42666238089398,-43.8999103499712,7.17368429464685
64716,2.5,0.0007812,12.1688676716116,-11.3726573709768,-18.5662377111437,-39.1522438124904,-0.365430315368577
64716,2.5,0.003125,51.2670931949594,-7.86862559873838,-8.42636690404088,-14.9418773885654,2.6250538688242
64716,2.5,0.0125,71.3225709404432,-4.037008203631,-4.70163095342882,-2.52319643073595,1.93226651450826
64716,2.5,0.05,85.5245920054367,3.55432406638086,1.63292495150165,6.27073210359416,7.01706570168531
62898,0,0,-0.000626453810742332,0,0,0,0
62898,0,400,6.89274038732422,0,0,0,0
62898,5,0,-87.2522283886124,0,0,0,0
62898,5,400,-28.6429004791979,-17.1139790739553,-17.1139790739553,-20.0327331919971,-20.0327102952264
62899,0,0,-0.000626453810742332,0,0,0,0
62899,0,400,6.89274038732422,0,0,0,0
62899,5,0,-18.7358664186124,0,0,0,0
62899,5,400,20.6324896908021,18.8762780162293,18.8762780162293,12.4525389178881,12.4525757290104
62900,0,0,-0.000626453810742332,0,0,0,0
62900,0,400,6.89274038732422,0,0,0,0
62900,5,0,-68.5687382786124,0,0,0,0
62900,5,400,-5.75430258719786,-1.71798711683864,-1.71798711683864,-8.31107115301607,-8.31104446198891
